,Wrong,Missed
ACVD,0.0714285714285714,0.9285714285714286
AS,0.06818181818181823,0.9318181818181818
BPA,0.05128205128205132,0.9487179487179487
CL,0.10566037735849054,0.8943396226415095
IBD,0.047008547008547064,0.9529914529914529
IGT,0.04255319148936165,0.9574468085106383
T2D,0.09009009009009006,0.9099099099099099
CI,0.11904761904761907,0.8809523809523809
FL,0.16666666666666663,0.8333333333333334
ME,0.13157894736842102,0.868421052631579
SC,0.033333333333333326,0.9666666666666667
