,TPR,TNR,NPV,Precision,F1
CV,0.7645550521124254,0.6321027636623161,0.8478238642337182,0.7497420112341043,0.736285589539565
Test,0.7412467943415321,0.5962994558325632,0.8227714953336378,0.7111360540237969,0.7040088403556424
